 district|block|cluster|schoolid|schoolname|category|gender|medium_of_inst|address|area|pincode|landmark|identification1|busroutes|identification2|latlong                  
 bangalore|bangalore north (yelahanka)|laggere 4th circle|29610|JAIBHUVANESWARANAGAR 2|Anganwadi|co-ed|kannada|Nandini Layout Post, Ring Road, 1st Main Road, 2nd Block|Jai Bhuvaneshwari nagar|560096|Behind Nandini Layout Bus Stop|Inside G.K.H.P.S Kulinagar|500, 401, 501||POINT(77.52928 13.0137)
 bangalore|sumangali seva ashrama|koramangala|33634|SANYASIKUNTE 2|Anganwadi|co-ed|kannada|Bhavani Nagar Slum, Gavipuram, Kempegowda Nagar|Sanyasi Kuntte|560019|Behind Gavipuram Police Station|No Painted Building|60,210,45,36||POINT(77.55985 12.95078)
 bangalore|sumangali seva ashrama|koramangala|33454|VEERA BADRANAGARA|Anganwadi|co-ed|kannada|Deve Gowda Circle, Bage Gowda Layout|B.S.K 3rd Stage|560085|Near Veerabhadra Nagar Bus Stop|Pink Colour Building|430||POINT(77.53221 12.93789)
 bangalore|sumangali seva ashrama|koramangala|33460|JAYA RAJNAGARA|Anganwadi|co-ed|kannada|# 1, A Street, Vivek Nagar Post|Jai Raj Nagar|560047|Near Austin Town Bus Stop|Pink Colour Building|140143||POINT(77.61674 12.95903)
 bangalore|sumangali seva ashrama|koramangala|33463|CHIKKE GOWDANA PALYA|Anganwadi|co-ed|kannada|1st Main Road, Subramanyapura Post|Chikka Gowdana Palya|560061|Near Prarthana School Bus Stop|Blue Colour Building|210J||POINT(77.55816 12.91006)
 bangalore|sumangali seva ashrama|koramangala|31482|CHIKKA LAKSHMI LAYOUT|Anganwadi|co-ed|kannada|Mahalingeshwara Layout, 6th Cross, Hosur Road|Chikka Laxmi Layout|560030|Near Christ College Bus Stop|Cream Colour Building|600171|Compound|POINT(77.60931 12.93696)
 bangalore|sumangali seva ashrama|koramangala|31487|AGRA|Anganwadi|co-ed|kannada|Sarjapura Main Road, Agara Post|Agara|560102|Behind Agara Bus Stop|GKHPS Agara Inside|500342|Cream Colour Building|POINT(77.65017 12.92349)
 bangalore|sumangali seva ashrama|koramangala|31053|ROOPENA AGRAHARA|Anganwadi|co-ed|kannada|Hosur Road, Madiwala Post|Roopena Agrahara|560068|Near Roopena Agrahara Bus Stop|GKHPS Roopena Agrahara Inside (Adied School)||White Colour Building|POINT(77.62489 12.91041)
 bangalore|sumangali seva ashrama|koramangala|30534|SANYASIKUNTE 1|Anganwadi|co-ed|kannada|Bhavani Nagar Slum, gavipuram, Kempegowda Nagar|Sanyasi Kunte|560019|Near Rama Krishna Ashram Bus Stop|No Painted Building|60,210,45,36||POINT(77.56096 12.95002)
 bangalore|sumangali seva ashrama|kodihalli|34027|NELLURPURAM 1|Anganwadi|co-ed|kannada|1st Main Road,Jagadisnagar Main road,New Thippasandra Post,Bangalore|Nellurpuram|560075|Compound Inside G K L P S Nellurpuram|Yellow Colour Building & Blue Colour doors||White Colour Compound & Gren Colour Gate|POINT(77.66326 12.96748)
