 district|block|cluster|schoolid|schoolname|category|gender|medium_of_inst|address|area|pincode|landmark|identification1|busroutes|identification2|latlong                  
 bangalore|north-4|byatarayanapura|32179|GKMPS NAGAVARA|Model Primary|co-ed|kannada|Ambedkar Ground Road, Arabic College Post, Bangalore||560045|Behind Nagawara Bus Stop|Infront Playground & Water Tank|290, 291 J|Yellow Colour Compound & Black Colour Gate|POINT(77.62406 13.03832)
 bangalore|north-4|t dasarahalli|32834|GKLPS T.DASARAHALLI|Lower Primary|co-ed|kannada|T.Dasarahalli Post, N-4, 1st Main Road|T.Dasarahalli|560057|Near T.Dasarahalli Bus Stop|Cream Colour Compound, Playground|250, 251, 252, 253|Cream Colour Building|POINT(77.51303 13.04422)
 bangalore|north-4|t dasarahalli|32835|GKMPS BAGALAGUNTE|Model Primary|co-ed|kannada|Nagasandra Post|Bagalukunte|560073|Opposite B.B.M.P Office|Cream Colour Building|250 C|Blue Colour Gate|POINT(77.50208 13.05705)
 bangalore|north-4|t dasarahalli|32837|GKMPS T.DASARAHALLI|Model Primary|co-ed|kannada|T. Dasarahalli Post, N-4|T. Dasarahalli|560057|Near T.Dasarahalli Bus Stop|Pink Colour Building|258 A, 258 B, 258 C, 250|Playground|POINT(77.51135 13.04919)
 bangalore|north-4|yelehanka new town|32879|GKHPS NARASIPURA|Upper Primary|co-ed|kannada|8th Main Road, Vidyaranyapura Post|Narsipura|560097|Sri Krishna Bakery Right Road|Cream Colour Compound & No Play Ground|276, 401 K, 401 M, 401 B|Cream Colour Building|POINT(77.5593 13.08231)
 bangalore|north-4|abbigere|33231|GKLPS SOMASHETTYHALLI|Lower Primary|co-ed|kannada|Chikka Banavara Post|Soma Shetty Halli|560090|Opposite Soma Shetty Halli Post|No Compound & Play Ground|271 G, 250 F|Cream Colour Building|POINT(77.52106 13.08673)
 bangalore|south-1|kumbalagodu|31993|GKLPS TITTAHALLI|Lower Primary|co-ed|kannada|K.Gollahalli Post, Kengeri Post, S-1|Thittahalli|560060|Near Thittahalli Bus Stop|Cream Colour Building|228 B, 401 L, 212 B||POINT(77.46095 12.82067)
 bangalore|south-1|kumbalagodu|31994|GKLPS TIPPUR|Lower Primary|co-ed|kannada|K.Gollahalli Post, Kengeri Post, S-1|Thipuru|560060|Opposite Thipuru Bus Stop|Cream Colour Compound|288 A, 288 B, 288 C, 288 D|Blue Colour Building|POINT(77.44133 12.81527)
 bangalore|south-1|ganapathi halli|32111|GKLPS C K THANDYA|Lower Primary|co-ed|kannada|Ramohalli Post, Thavarekere Hobli, Bangalore|C.K.Thandya|560060|Infront Sevabhaya Temple|White Colour Building & White Colour Compound|227 C, 227 R|Infront Flag Post|POINT(77.3974 12.87082)
 bangalore|south-1|basavanagudi|32339|GKLPS THYAGARAJNAGAR|Upper Primary|co-ed|kannada|K.S.Colony, 2nd Cross, 2nd Block|Thygarajnagar|560028|Near TR Nagar Bus Stop|Pink Colour Building|31 E, 210 P||POINT(77.56861 12.93204)
 bangalore|south-1|kengeri|32421|GKHPS H GOLLAHALLI|Upper Primary|co-ed|kannada|H. Gollahalli Main Road, Vidyapeeta Post, Kengeri Hobli, Bangalore|H. Gollahalli|560060|Infront H. Gollahalli Bus Stop|White Colour Building And Infront Play Ground And Infront Flag Post|224, 224C, 224D|White Colour Compound And Sheet Building|POINT(77.48043 12.87617)
 bangalore|south-1|kengeri|32424|GKLPS ARUNDATHINAGARA|Lower Primary|co-ed|kannada|Kengeri Post, Kengeri Hobli, Bangalore|Arundhati Nagar|560060|Beside Sumana Clinic|Yellow Colour Building & Blue Colour Doors||Yellow Colour Compond & Blue Colour Gate|POINT(77.47445 12.91127)
 bangalore|south-1|kengeri|32425|GKLPS CHENNAVEERANA PALYA|Lower Primary|co-ed|kannada|Vidyapeeta Post, Kengeri Hoblli, Bangalore|Chennaveera Play|560060|Near Kunt Maramma Temple|Pink Colour Building|224|Blue Colour Door|POINT(77.48656 12.87314)
 bangalore|south-1|kengeri|32428|GKLPS HEMMIGEPURA|Lower Primary|co-ed|kannada|Hemmigepura Main Road, Vidyapeeta Post, Kengeri Hobli, Bangalore|Hemmigepura|560060|Beside Anjaneya Temple|Yellow Colour Building|224, 224D|Brown Colour Door And Infront Flag Post|POINT(77.48564 12.88163)
 bangalore|south-1|kengeri|32434|GUHPS BEEDIWORKERS COLONY|Upper Primary|co-ed|urdu|Kengeri Upanagara, Kengeri Post, Kengeri Hobli, Bangalore|Beedi Workers Colony|560060|Near Beedi Workers Colony Bus Stop|White Colour Building|221 D|Blue Colour Doors & Infront Flag Post|POINT(77.47288 12.91793)
 bangalore|south-1|kengeri|32436|GULPS VALAGEREHALLI|Lower Primary|co-ed|urdu|Kengeri Upanagara, Kengeri Post, Kengeri Hobli, Bangalore|Valagerehalli|560060|Near G.K.H.P.S Valagerehalli|White Colour Building & Green Colour Door & Sheet Building|222, 222 A, 401 K, 401 M, 500|White Colour Compound & No Gate & Infront Water Tank|POINT(77.48672 12.92252)
 bangalore|south-1|doddagollarahatti|33033|GKLPS DODDABASTI|Lower Primary|co-ed|kannada|Ullal Upanagara Post, Kengeri Hobli, S-1|Doddabasti|560056|Near Doddabasti Bus Stop|Cream Colour Compound|223 G, 235 K|Cream Colour Building|POINT(77.47359 12.94084)
 bangalore|south-1|huluvenahalli|33046|GKLPS KALAYANAPALYA|Lower Primary|co-ed|kannada|Chunchanaguppe Post, Tavarekere Hobli|Kalayyanapalya|562130||No Compound & Small Play Ground||Cream Colour Building|POINT(77.39093 12.9225)
 bangalore|south-1|sunkadakatte jantha colony|33060|GKLPS MUDDAYYANAPALYA (TAVAREKERE)|Lower Primary|co-ed|kannada|Ramohalli Post, Tavarekere Hobli, Bangalore|Muddayanapalya|562130|Near Ration Store (Nyayabele Angadi)|Yellow Colour Building & Blue Colour Door & Infront Two Water Tank|242 K, 227 J|Yellow Colour Compound & Blue Colour Gate|POINT(77.41726 12.93188)
 bangalore|south-1|sunkadakatte jantha colony|33062|GKLPS YALACHAGUPPE|Lower Primary|co-ed|kannada|Tavarekere To Kengeri Road, Tavarekere Post, Tavarekere Hobli, Bangalore|Yalachaguppe|562130|Infront Yalachaguppe Bus Stop|Green Colour Building & Yellow Colour Compound|242 FB|Infront Flag Post & Infront Play Ground|POINT(77.4215 12.95936)
 bangalore|south-2|chamarajpet|32128|GKMPS PADARAYANAPURA|Model Primary|co-ed|kannada|1st Cross,Gori Palya Main Road,|Padarayana Pura|560026|Near Gori Palya Bus Stop|Cream Colour Building|Tr,155,56|Cream Colour Compound|POINT(77.55317 12.96308)
