"SL.","Num","Route ",,,"Route ","No.of ","No.of  Trips",,"No. of",,,
"No.","No.","No. ","FROM","TO","Length","Sch. ","Ist","IInd ","Total Trips ",,,
774,,"285-C","K R Market","Dodda Tumkur",35.6,1,5,5,10,,,
775,,"285CA","K R Market","Ginke Bachahalli",39.8,1,5,5,10,,,
776,,"285CB","K R Market","Kattehalli",36.9,1,4,4,8,,,
777,,"285-CC","K.R. Market","Chikka Tumkur ",41,1,3,5,8,,,
778,,"285-D","K R Market","Linganahalli",32.6,1,5,5,10,,,
779,,"285-E","K R Market","Kakolu",36,1,5,5,10,,,
780,,"285-F","K R Market","Gowdahalli",39.2,1,4,4,8,,,
781,,"285-G","K R Market","Budamana Hall",35,1,5,5,10,,,
782,,"285-H","K R Market","Kolavarayanahalli ",33.6,1,6,6,12,,,
783,,"285-J","K.R. Market","Jalige",37.5,1,6,6,12,,,
784,,"285-JA","Kempegowda Bus Stn","Aradeshanahalli",31.7,1,3,5,8,,,
785,,"285-JB","K.R. Market","Thindlu",41.7,2,6,9,15,,,
786,,"285-JC","K.R.Market","Thindlu",25.4,1,5,5,10,,,
787,,"285-K","K R Market","Sadenahalli",31,1,6,6,12,,,
788,,"285-L","K R Market","Byatha",39.2,1,5,5,10,,,
789,,"285-M","Kempegowda Bus Stn","Doddaballapura",38.3,35,104,110,214,,,
790,,"285-MK","K.R. Market","Doddaballapura",41,2,4,4,8,,,
791,,"285-N","Cauvery Bhavan","Thara Hunise",34,1,6,6,12,,,
792,,"285-P","K R Market","Bettanahalli",36.8,1,6,6,12,,,
793,,"285-R","K R Market","Challahalli",39.5,1,7,7,14,,,
794,,"285-RA","K R Market","Haniyur",39.8,1,4,4,8,,,
795,,"285-RB","K.R.Market","Kanaswadi",49,1,3,4,7,,,
796,,"285-T","K R Market","Chokkanahalli",33,1,5,5,10,,,
797,,"285-V","Shivajinagar Bus Station","Sonnenahalli Hospital",33,1,5,5,10,,,
798,,"285-W","Kempegowda Bus Stn","Basavalingappa Nagar",35.6,1,4,4,8,,,
799,,"285X","K R Market","Dibbur",30.7,1,5,5,10,,,
800,,"285-Y","K.R. Market","Seethakempanahalli ",15.8,1,6,7,13,,,
801,,"285-Z","K R Market","Suradena Pura",33.1,1,4,4,8,,,
802,73,286,"K R Market","Jakkur Layout",18,3,22,22,44,,,
803,,"286-A","K R Market","Jakkur Layout",17,3,23,23,46,,,
804,,"286-B","K R Market","Chokkana Halli",20.1,2,9,9,18,,,
805,,"286-D","K R Market","Sri Ramapura",13.7,2,12,12,24,,,
806,,"286-E","K.R. Market","Venkateshwaranagra ",19.7,1,5,7,12,,,
807,,"286-F","Kempegowda Bus Stn","K. Narayanapura ",21.9,2,10,11,21,,,
808,,"286-G","Kempegowda Bus Stn","Jakkur ",13.8,1,10,"GS",10,,,
809,,"286-H","Shivajingara Bus Station ","Jakkur Layout",16,1,10,"GS",10,,,
810,,"286-T","Kempegowda Bus Stn","Surabhi Badavane",15.7,1,11,"GS",11,,,
811,74,287,"Kempegowda Bus Stn","Hebbala",8.7,1,9,9,18,,,
812,,"287-A","Shivajinagar Bus Station","Hebbala",9,1,6,6,12,,,
813,,"287-B","K R Market","Amarajyothinagar",12.5,1,7,7,14,,,
814,,"287-C","K R Market","Hebbala Kempapura",12,1,8,8,16,,,
815,,"287-D","K R Market","Vishwanatha Nagenahalli",15.2,2,17,17,34,,,
816,,"287-E","K.R.Market ","Chola Nayakanahalli",14.7,1,8,8,16,,,
817,,"287-F","Shivajingara Bus Station ","Chamundi Nagar",11.3,1,8,8,16,,,
818,,"287-G","Kempegowda Bus Stn","Coffee Board Layout",15.3,3,10,10,20,,,
819,,"287-H","Kempegowda Bus Stn","Mariyannana Palya",13.5,1,9,9,18,,,
820,,"287-J","Kempegowda Bus Stn","Chamundi Nagar",11,1,10,10,20,,,
821,,"287-JA","Kempegowda Bus Stn","Amruthnagar",12.1,1,6,6,12,,,
822,,"287-K","Shivajinagara Bus Station","Dasarahalli",14.7,1,12,"GS",12,,,
823,,"287-L","Kempegowda Bus Stn","Dasarahalli",14,1,8,9,17,,,
824,,"287-M","Konanakunte Bank Colony","Hebbala",20,1,39,39,78,,,
825,,"287-P","Shivajinagar Bus Station","Chamundi Nagar",14,1,10,10,20,,,
826,,"287Q","Shivajinagar Bus Station","Boopasandra",11.5,1,10,10,20,,,
827,,"287-S","BCC Layout","Coffee Board Layout",19.7,1,8,8,16,,,
828,,"287-T","K.R. Market","Dasarahalli",17.5,1,5,5,10,,,
829,75,288,"K.R.Market ","Thindlu",17.1,6,36,36,72,,,
830,,"288-A","Shivajinagar Bus Station","Kodigehalli",13.9,3,35,35,70,,,
831,,"288-B","K.R.Market","Kodigehalli Canara Bank",17,1,6,6,12,,,
832,,"288-C","K.R.Market ","Kodigehalli",15.1,1,9,9,18,,,
833,,"288-D","Kempegowda Bus Stn","Kodigehalli",14.1,4,32,34,66,,,
834,,"288-E"," Shivajinagar Bus Staion    ","Vidyaranyapura",16,1,9,9,18,,,
835,,"288-F","Kempegowda Bus Stn","Sahakara Nagar Cauvery School",17.3,2,13,13,26,,,
836,,"288-G","Kempegowda Bus Stn","Kodigehalli Canara Bank Colony",14.6,1,8,8,16,,,
837,,"288-H","Kempegowda Bus Stn","Tindlu",14.2,4,28,28,56,,,
838,,"288-J","Kempegowda Bus Stn","Hesaraghatta",32.8,1,6,"GS",6,,,
839,,"288-M","Kempegowda Bus Stn","Vidyaranyapura",17.6,2,20,"GS",20,,,
840,76,289,"K.R. Market","Bagalur",29.5,1,9,9,18,,,
841,,"289-A","Yelahanka","Bagalur",9.3,1,5,5,10,,,
842,,"289-B","K R Market","Hunusuru ",45.4,1,3,3,6,,,
843,,"289-C","K R Market","Huvi Nayakana Halli",31.6,1,11,11,22,,,
844,,"289-D","Yelahanka","Hosakote",42.6,1,3,3,6,,,
845,,"289-E","K R Market","Chokkana Halli",33,20,5,5,10,,,
846,,"289-F","Yelahanka","Hosakote",40.1,3,11,11,22,,,
847,,"289-H","Yelahanka","Hosakote (Via Budigere,Gangawar)",38,1,4,4,8,,,
848,,"289-K","K R Market","Kadayarappanahalli ",39.8,1,5,"GS",5,,,
849,,"289-L","Yelahanka","M.V.J. Medical Hospital ",36.8,2,8,7,15,,,
850,,"289-M","Kempegowda Bus Stn","Begur",35.7,1,4,4,8,,,
851,,"289-N","Yelahanka Satt.Town 5th Phase","Bagalur",14,3,26,26,52,,,
852,,"289-P/1","Yelahanka ","Kadayarappanahalli ",17,1,8,8,16,,,
853,77,290,"Shivajinagar","Thanisandra",10.4,4,45,45,90,,,
854,,"290-A","Shivajingara Bus Station ","Rachenahalli",11.6,2,17,17,34,,,
855,,"290-B","Kempegowda Bus Stn","Thanisandra",14.6,5,38,38,76,,,
856,,"290-C","Shivajingara Bus Station ","Nagawara",8.1,6,48,48,96,,,
857,,"290-D","Kempegowda Bus Stn","Dr.Ambedkar College",13.5,1,8,8,16,,,
858,,"290-E","Shivajingara Bus Station ","Yelahanka",20.6,23,54,54,108,,,
859,,"SS AC 290-E","Shivajingara Bus Station ","Yelahanka ",20.6,4,40,"GS",40,,,
860,,"290-F","Shivajingara Bus Station ","Agrahara Layout",16,5,16,20,36,,,
861,,"290-G","Shivajingara Bus Station ","Vidyasagara",9.6,2,21,21,42,,,
862,,"290-H","Shivajingara Bus Station ","Dr.Ambedkar College",8,2,21,21,42,,,
863,,"290-J","Kempegowda Bus Stn","Mestri Palya",16.7,2,14,14,28,,,
864,,"290-K","Shivajinagar","Dr.Ambedkar College",7,4,35,35,70,,,
865,,"290-L","Shivajinagar Bus Station","Hilalnagar",9.3,1,9,9,18,,,
866,,"290-M","Kempegowda Bus Stn","Telecom Layout",14.5,1,7,7,14,,,
867,,"290-N","K R Market","Thanisandra",15,4,28,28,56,,,
868,,"290-P","Kempegowda Bus Stn","Arebic College ",12.6,1,8,8,16,,,
869,,"290-Q","Neelasandra ","Heggadenagara ",18.1,4,25,25,50,,,
870,,"290-R","K R Market","Razak Palya",28,3,12,12,24,,,
871,,"290-S","Shivajinagar Bus Station","Sri venkateshwara Badavane",15.3,1,8,8,16,,,
872,,"290-T","K.R.Market","Tippunagara ",21.8,2,14,14,28,,,
873,,"290-V","Shivajinagar","HBR 5th Phase",9.4,1,27,27,54,,,
874,78,291,"K R Market","Sri Ramapura",19.2,1,8,8,16,,,
875,,"291-A","K R Market","Agrahara Layout",23.1,2,6,6,12,,,
876,,"291-B","K R Market","Rachenahalli",20.5,1,7,7,14,,,
877,,"291-D","Shivajinagar Bus Station","Yelahanka ",12.9,8,50,50,100,,,
878,,"291E","Shivajinagar","Yelahanka",17.8,2,17,17,34,,,
879,,"291-G","Shivajinagar","Govinda Pura",8,3,32,32,64,,,
880,,"291-H","Kempegowda Bus Stn","R.K.Hegde Nagar",17.5,9,34,34,68,,,
881,,"291-J","K.R.Market","R.K.Hegde Nagar",15,9,98,103,201,,,
882,,"291-K","Shivajinagar","Rajanukunte",29,1,5,5,10,,,
883,,"291-L","Shivajinagar","Mylanahalli",33.7,3,4,4,8,,,
884,,"291-M","Kempegowda Bus Stn","Govinda Pura",13.6,3,16,24,40,,,
885,,"291-N","K R Market","Govinda Pura",13.1,2,24,24,48,,,
886,,"291-P","Shivajinagara Bus Station","Yelahanka",18.5,1,6,6,12,,,
887,,"291-R","Govindapura","Jagajeevan Ram Nagara",16.2,2,6,6,12,,,
888,79,292,"K.R. Market","Nagaresha Nagenahalli",21,2,13,13,26,,,
889,,"292-A","Kempegowda Bus Stn","K.Narayanapura",18,1,9,9,18,,,
890,,"292-B","Kempegowda Bus Stn","Nagaresha Nagenahalli",19.5,1,6,6,12,,,
891,,"292-C","Kempegowda Bus Stn","K.Narayanapura",19.2,2,15,15,30,,,
892,,"292-D","Shivajinagar","Nagaresha Nagenahalli Dinne",15.8,1,5,8,13,,,
893,,"292-E","Kempegowda Bus Stn","Nagaresha Nagenahalli Dinne",20,1,10,"GS",10,,,
894,,"292-F","Shivajinagar","B.D.S. Nagra",13.2,1,7,8,15,,,
895,80,293,"K.R. Market","Razakpalya",18.5,2,12,12,24,,,
896,,"293-A","K R Market","Horamavu Agrahara",30,1,8,8,16,,,
897,,"293-B","K R Market","Bande Bommasandra",16.8,1,6,6,12,,,
898,,"293-C","K R Market","K.Narayanapura",26,3,21,21,42,,,
899,,"293-D","K R Market","Singahalli",18.5,1,5,5,10,,,
900,,"293-E","K R Market","Muthugadahalli",38.5,1,6,6,12,,,
901,,"293-F","K R Market","Kada Yarappana Halli",34.5,1,6,6,12,,,
902,,"293-G","Shivajinagar","Yarappanahalli",33.2,1,7,7,14,,,
903,,"293-H","Kempegowda Bus Stn","Dasanayakana Halli",18.9,1,6,6,12,,,
904,,"293-J","K R Market","Marasoor",29.7,1,6,6,12,,,
905,,"293-K","K.R. Market","Mylanahalli",32.7,1,4,4,8,,,
906,,"293-L","K.R. Market","Yarappana Bande Nagara",26.3,1,6,6,12,,,
907,,"293-M","K.R. Market","Bayalhalli ",32.4,1,7,"GS",7,,,
908,,"293-N ","Kempegowda Bus Stn","Geddalahalli ",15.9,1,12,"GS",12,,,
909,,"293-R","Shivajinagara Bus Station","Chikkajala",33.5,1,6,"GS",6,,,
910,81,294,"K.R. Market","Bele Shivale",21.4,1,7,7,14,,,
911,,"294-A","K R Market","Kada Sonnappana Halli",23.2,1,6,6,12,,,
912,,"294-B","Kempegowda Bus Stn","Jyothinagar",20,1,6,7,13,,,
913,,"294-C","Shivajinagar","Horamavu Agrahara",12,3,28,28,56,,,
914,,"294-D","K R Market","Anagalipura",22.2,1,7,7,14,,,
915,,"294-E","Kempegowda Bus Stn","Bile Shivale",21,1,7,7,14,,,
916,,"294-F","Kempegowda Bus Stn","Rampura",21.6,1,9,"GS",9,,,
917,,"294-H","Shivajinagar Bus Station","Rampura",17.5,1,7,7,14,,,
918,82,295,"K.R. Market","Dodda Gubbi",21.9,2,12,12,24,,,
919,,"295-A","Kempegowda Bus Stn","Dodda Gubbi",20.9,1,7,7,14,,,
920,,"295-B","Shivajinagar","Dodda Gubbi",15.4,1,5,6,11,,,
921,,"295-C","Shivajinagar Bus Station","Doddagubbi",17.4,2,20,20,40,,,
922,,"295-D","Shivajinagara Bus Station","Yerappanabande ",22.9,1,4,5,9,,,
923,83,296,"Shivajinagar","Hennur Cross",15.4,1,17,17,34,,,
924,,"296-A","Kempegowda Bus Stn","Yarappanahalli",8.6,2,12,12,24,,,
925,,"296-B","Kempegowda Bus Stn","HBR Layout 5th Block",24.6,2,18,18,36,,,
926,,"296-C","Kempegowda Bus Stn","Kalyana Nagar",16.5,2,16,16,32,,,
927,,"296-D","Shivajinagar","Hennur Bande ",14.2,2,22,22,44,,,
928,,"296-E","Shivajinagar","Kammanahalli Extension",10.8,1,12,12,24,,,
929,,"296-K","Shivajinagar","Yelahanka S.T. 4th Phase",26.3,2,9,7,16,,,
930,,"296-N","Kempegowda Bus Stn","Kadaagrahara",26.3,1,4,4,8,,,
931,,"296-Q","Shivajinagar Bus Station","HBR  1st ",8.7,1,10,10,20,,,
932,,"296-T","Kempegowda Bus Stn","HBR 1st",12.7,1,23,23,46,,,
933,,"296-V","Kempegowda Bus Stn","HBR BDA Complex",14,1,6,6,12,,,
934,84,297,"K.R. Market","Neraganahalli",26.5,1,4,4,8,,,
935,,"297-A","K R Market","Idrasanahalli ",39.6,1,5,5,10,,,
936,,"297-B","K R Market","Devagana Halli",43,1,4,4,8,,,
937,,"297-F","K.R. Market","Bhovi Palya ",34.9,1,10,"GS",10,,,
938,,"297-G","Kempegowda Bus Stn","Neraganahalli",37,1,5,5,10,,,
939,,"297-H","K.R. Market","Hegganahalli",23,1,10,"GS",10,,,
940,,"297-K","Yelahanka ","Vishwanathapura",25.4,1,10,"GS",10,,,
941,85,298,"K.R. Market","Kannamangala",43,1,5,5,10,,,
942,,"298-A","K R Market","Uganawadi",37.1,1,5,5,10,,,
943,,"298-B","K R Market","Bychapura ",40.5,1,12,12,24,,,
944,,"298-C","K R Market","Kempalingapura",40.5,1,4,4,8,,,
945,,"298-D","K R Market","Kannamangala Palya",34.2,1,4,4,8,,,
946,,"298-E","K.R. Market","Kundana",47,1,8,4,8,,,
947,,"298-H","Jayanagara Bus Stn. ","Devanahalli",44.4,1,3,3,6,,,
948,,"298-L","Yelahanka ","Devanahalli",35.9,1,8,"GS",8,,,
949,,"298-M","Kempegowda Bus Stn","Devanahalli",36.2,25,80,80,160,,,
950,,"298-MA","Kempegowda Bus Stn","Bommawara ",42.3,1,4,4,8,,,
951,,"298-MB","Kempegowda Bus Station","Devanahalli(Via, Bychapura)",38.2,1,6,"GS",6,,,
952,,"298-P","Hosakote ","Devanahalli",25.8,7,64,"GS",64,,,
953,,"298-PA","Hosakote ","Vijayapura ",31,1,4,6,10,,,
954,86,299,"K.R. Market","Tharabanahalli",33.1,1,5,5,10,,,
955,,"299-E","K R Market","Kuduregere",36.2,1,4,5,9,,,
956,87,300,"Shivajinagar Bus Station","Banasawadi",9.1,1,22,22,44,,,
957,,"300-B","Kempegowda Bus Stn","Banasawadi",14.8,4,37,37,74,,,
958,,"300-C","Kempegowda Bus Stn","ITI Colony",18.7,2,20,20,40,,,
959,,"300-D","Shivajinagar","B.Channasandra",10.7,3,33,33,66,,,
960,,"300-DA","Shivajinagar","B. Channasandra ",10.7,2,,,0,,,
961,,"300-E","Shjivajinagar","K.R.Puram",14.7,15,95,95,190,,,
962,,"300-F","Shivajinagar","Devasandra",17,3,26,26,52,,,
963,,"300-G","R.P.C.Layout","Banasawadi",26.3,1,7,7,14,,,
964,,"300-H","Kempegowda Bus Stn","K.R.Puram",20.7,4,26,26,52,,,
965,,"300-J","Kempegowda Bus Stn","Kasturi Nagar",16.5,1,9,9,18,,,
966,,"300-K","Shivajinagar Bus Station","Sadaramangala",18.6,1,6,6,12,,,
967,,"300-L","Shivajinagar Bus Station","K.Kasturinagar",10.5,1,8,8,16,,,
968,,"300-N","Shivajinagar Bus Station","Sadanandanagar",13.5,1,8,8,16,,,
969,,"300-P","Shivajinagar Bus Station","Shanthi Layout",14.9,2,14,14,28,,,
970,,"300-Q","Padmanabhanagara ","Banasawadi",21.8,1,8,8,16,,,
971,,"300-T","Shivajinagara Bus Station","Nadavathi",31.5,1,6,6,12,,,
972,,"300-V","Hampinagara(RPC Layout)","Shampura ",18.7,2,9,10,19,,,
973,88,301,"K.R. Market","Channasandra",19.8,3,21,21,42,,,
974,,"301-A","K R Market","Banasawadi",11.8,2,18,18,36,,,
975,,"301-D","Shivajinagar","Hosakote",33.3,2,13,13,26,,,
976,,"301-F","Kempegowda Bus Stn","Kittaganur",20.6,2,6,6,12,,,
977,,"301-G","Shivajinagar","Kada Agrahara ",21.4,1,8,"GS",8,,,
978,,"301-R","Hebbala ","Nadavathi",39.5,1,4,4,8,,,
979,89,302,"Shivajinagar Bus Station","Kammanahalli",8.8,5,60,60,120,,,
980,,"302-A","Kempegowda Bus Stn","Babasab Palya",14.8,1,18,18,36,,,
981,,"302-B","Kempegowda Bus Stn","Kammanahalli",12.5,4,21,21,42,,,
982,,"302-C","K R Market","Kalyana Nagar",13.6,2,13,13,26,,,
983,,"302-D","K.R.Market","Kalyana Nagar",13.4,3,13,13,26,,,
984,,"302-E","K R Market","Chelikere",15.8,3,26,26,52,,,
985,,"302-F","Kempegowda Bus Stn","Kalyana Nagar",16.8,4,30,30,60,,,
986,,"302-G","Shivajinagar","Jn. Of Horamavu Road",11.8,2,18,18,36,,,
987,,"302-H","K R Market","Kammanahalli",12,1,17,17,34,,,
988,,"302-J","Shivajinagar","Chelakere Extension",10,1,12,12,24,,,
989,,"302-K","Kempegowda Bus Stn","Linga Raja Pura KHB Colony",15.7,1,15,15,30,,,
990,,"302-M","Shivajinagar Bus Station","Linga Raja Pura KHB Colony",10.6,1,23,23,46,,,
991,,"302-N","Kempegowda Bus Stn","Kalyana Nagar",16,2,16,16,32,,,
992,90,303,"K.R. Market","Banasawadi",14.2,1,8,8,16,,,
993,,"303-A","Kempegowda Bus Stn","Jayanthi Nagar",16.8,1,8,8,16,,,
994,,"303-B","K R Market","Horamavu Road Petrol Bunk",13.4,1,8,8,16,,,
995,,"303-C","Shivajinagar","Kalyana Nagar",12.8,2,9,9,18,,,
996,,"303-D","Kempegowda Bus Stn","Horamavu Road Petrol Bunk",12.4,1,8,8,16,,,
997,,"303-E","K R Market","Horamavu ",16.8,2,16,16,32,,,
998,,"303-F","Shivajinagar","Mariyamma Layout",13,1,9,9,18,,,
999,,"303-G","Shivajinagar Bus Station","Om Shakthi Nagar",14.4,2,15,16,31,,,
1000,91,304,"K.R. Market","Arehalli",37.5,1,3,5,8,,,
1001,,"304-A","K R Market","Garudacharplaya",16.6,1,7,8,15,,,
1002,,"304-B","Kempegowda Bus Stn","Hoodli Village",18.5,4,23,26,49,,,
1003,,"304-C","K R Market","Channasandra",22.6,1,5,5,10,,,
1004,,"304-D","Shivajinagar","Medi Mallasandra",30.4,1,4,5,9,,,
1005,,"304-E","K R Market","Kalkunte Agrahara",37.5,1,3,5,8,,,
1006,,"304-F","K R Market","AECS Layout",22,1,8,"GS",8,,,
1007,,"304-H","Kempegowda Bus Stn","Arehalli",38,1,1,5,6,,,
1008,,"304-J","Kempegowda Bus Stn","Kalkunte Agrahara",38.5,1,3,4,7,,,
1009,,"304-K","Kempegowda Bus Stn","Kaveri Nagara ",18.6,1,8,8,16,,,
1010,,"304-L","Kempegowda Bus Stn","Medi Mallasandra",34.2,1,5,"GS",5,,,
1011,,"304-M","K R Market","Alambadi",44.9,1,3,3,6,,,
1012,,"304-N","K.R. Market","Anugodanahalli ",32,1,3,5,8,,,
1013,,"304-NA","K.R.Market ","Obalapura ",33.1,1,9,"GS",9,,,
1014,,"304-P","K R Market","Yattu Kodi",40,1,3,3,6,,,
1015,,"304-Q","K R Market","Ganagaluru",42.7,1,3,7,10,,,
1016,,"304-R","Kempegowda Bus Stn","B.N. Bachhegowda Badavane",44.2,1,4,"GS",4,,,
1017,,"304-S","Shivajinagar","Kalkunte Agrahara",34.2,1,6,"GS",6,,,
1018,,"304-T","K.R. Market","Dodda Donnasandra ",30,1,4,3,7,,,
1019,,"304-V","K.R. Market","Chikkathirupathi ",43,3,9,9,18,,,
1020,,"304-X","K.R. Market","Arehalli",39,1,8,"GS",8,,,
1021,,"304-Z","Kempegowda Bus Station","Chikka Tirupathi ",43,1,3,5,8,,,
1022,92,305,"K.R. Market","Naduvathi",29.1,1,4,5,9,,,
1023,,"305-A","K R Market","Bhattarahalli",31.7,1,4,5,9,,,
1024,,"305-B","K R Market","Makanahalli",32.8,1,4,4,8,,,
1025,,"305-C","Kempegowda Bus Stn","Bisanahalli",33.7,1,4,5,9,,,
1026,,"305-D","Kempegowda Bus Stn","Channasandra",24,6,26,23,49,,,
1027,,"305-E","K R Market","Kodihalli",32.6,1,4,5,9,,,
1028,,"305-F","K R Market","Naduvathi Colony",29.8,1,7,"GS",7,,,
1029,,"305-G","K R Market","Devasettahalli",33.8,1,3,6,9,,,
1030,,"305-H","Shivajinagar","Makanahalli",33.8,1,6,"GS",6,,,
1031,,"305-J","K R Market","Hosakote",35.2,3,9,9,18,,,
1032,,"305-K","Shivajinagar","Kattigenahalli",38,1,4,4,8,,,
1033,,"305-L","Kempegowda Bus Stn","Vagata",37.2,1,5,"GS",5,,,
1034,,"305-M","Kempegowda Bus Stn","Tarabanahalli",37.5,1,3,5,8,,,
1035,,"305-N","K R Market","Yeshawanthapura (Via, Hoodi) ",41.9,1,3,4,7,,,
1036,,"305-P","K R Market","Bommana Bande",37.6,1,3,4,7,,,
1037,,"305-Q","Kempegowda Bus Stn","Pichha  Guttahalli",39.6,1,3,3,6,,,
1038,,"305-R","K R Market","Dodda Dasarahalli",33.4,1,3,3,6,,,
1039,,"305-S","Kempegowda Bus Stn","Soukya Hospital",32,3,5,5,10,,,
1040,,"MP 305-S","Kempegowda Bus Stn","Sowkhya Hospital ",32,1,6,"GS",6,,,
1041,,"305-V","Kempegowda Bus Stn","Devalapura",30.9,1,3,3,6,,,
1042,92,306,"K.R. Market","Devanagundi",31.9,2,7,9,16,,,
1043,,"306-A","K R Market","Linga Dheera Mallasandra",41,1,3,4,7,,,
1044,,"306-B","K R Market","Thindlu",39.7,1,3,3,6,,,
1045,,"306-C","K R Market","Kanikal",34.6,1,3,5,8,,,
1046,,"306-D","Kempegowda Bus Stn","Devanagundi",32.9,1,3,4,7,,,
1047,,"306-E","K R Market","Narayanakere",37.2,2,7,9,16,,,
1048,,"306-F","K R Market","Banarahalli",36.9,1,3,4,7,,,
1049,,"306-G","K R Market","Somalapura",38,1,3,5,8,,,
1050,,"306-H","K R Market","Handenahalli",35,1,3,5,8,,,
1051,,"306J","K R Market","Domlur",37.2,2,8,9,17,,,
1052,,"306-K","K R Market","D.Hosahalli",31.9,1,3,5,8,,,
1053,,"306-L","K R Market","Marasandra",41.2,1,4,2,6,,,
1054,,"306-M","K R Market","Pura",41.7,2,6,6,12,,,
1055,,"306-P","K R Market","Arasanahalli",44.9,1,3,3,6,,,
1056,,"306-Q","Shivajinagar","Devanagundi",29.8,1,3,5,8,,,
1057,,"306-R","Kempegowda Bus Stn","Devanagundi",39.2,1,6,"GS",6,,,
1058,,"306-S","K.R.Market","Kattigenahalli",38,1,5,"GS",5,,,
1059,94,307,"K.R. Market","Rampura",27.9,1,4,5,9,,,
1060,,"307-A","K R Market","Veerenahalli",23.9,1,6,"GS",6,,,
1061,,"307-B","K R Market","Kadugodi",24.4,1,3,4,7,,,
1062,,"307-C","K R Market","Dodda Banahalli",22,1,5,5,10,,,
1063,95,308,"K.R. Market","Gundoor Colony",28.8,2,10,9,19,,,
1064,,"308-A","Kempegowda Bus Stn","Marasandra",30,1,4,4,8,,,
1065,,"308-B","K.R.Market","Marasandra",29.6,1,6,"GS",6,,,
1066,96,309,"K.R. Market","Kaggadasapura",14.7,1,8,8,16,,,
1067,97,310,"Shivajinagar","K R Puram",12.1,1,7,10,17,,,
1068,,"310-A","Shivajinagar","A.Narayanapura",9.8,1,13,"GS",13,,,
1069,,"310-B","K.R.Puram","Vijayanagar",20.3,1,5,"GS",5,,,
1070,,"310-C","Shivajinagar","Udayanagar",11.1,1,12,"GS",12,,,
1071,,"310-D","Shivajinagar","Naduvathi",31.8,2,6,8,14,,,
1072,,"310-E","Shivajinagar","Kittaganur",17.2,1,10,"GS",10,,,
1073,98,311,"Shivajinagar Bus Station","K R Puram",14.6,5,28,28,56,,,
1074,,"311-A","Shivajinagar","Sadanandanagar",11.1,1,8,12,20,,,
1075,,"311-C","Shivajinagar","Vijinapura",11.3,1,5,6,11,,,
1076,,"311-E","Shivajinagar","Ayyappa Nagar",12.8,1,6,9,15,,,
1077,,"311-F","Shivajinagar","K.R.puram (K.S.Palya)",15,1,7,8,15,,,
1078,,"311-J","Shivajinagar","Seegehalli",15.1,1,12,"GS",12,,,
1079,,"311-K","Shivajinagar","Kadugodi",21,1,9,"GS",9,,,
1080,,"311-P","Shivajinagar","Shanthi Layout",12.8,1,14,"GS",14,,,
1081,99,312,"Shivajinagar Bus Station","Kithaganoor",21.7,1,5,7,12,,,
1082,,"312-A","Shivajinagar Bus Station","Maragondanahalli ",23.7,2,11,11,22,,,
1083,100,313,"K.R.Market","K.R.Puram",15.5,1,4,6,10,,,
1084,,"313-A","K R Market","Maragondanahalli",24.5,1,5,7,12,,,
1085,,"313-B","K R Market","Vijinapura",16.8,1,7,8,15,,,
1086,,"313-C","K R Market","A.Narayanapura",13.8,1,7,8,15,,,
1087,,"313-D","K R Market","K.R.Puram",18.1,3,16,21,37,,,
1088,,"313-E","K R Market","Sadaramangala",21.8,1,5,7,12,,,
1089,,"313-F","K R Market","Rampura",23.8,1,4,5,9,,,
1090,,"313-G","K R Market","Gayathri Layout",18.5,1,10,"GS",10,,,
1091,,"313-J","K R Market","Jinkathimmanahalli",18.3,1,10,"GS",5,,,
1092,,"313-K","K R Market","Ayyappa Nagar",17.3,1,5,6,11,,,
1093,,"313-L","K R Market","Ramamurthy Nagar",15.8,3,18,20,38,,,
1094,,"313-M","K.R. Market","Parvathi Nagara ",21.5,1,6,6,12,,,
1095,,"313-P","K R Market","Shanthi Layout",17.7,1,10,"GS",10,,,
1096,,"313-R","K R Market","Varthur",23.6,1,7,"GS",7,,,
1097,,"313-T","K R Market","Thambuchetty Palya",18,1,6,7,13,,,
1098,,"313-U","K.R. Market","Varanasi",18.3,1,10,"GS",10,,,
1099,101,314,"Shivajinagar Bus Station","Nagawarapalya",12.2,4,26,27,53,,,
1100,,"314-A","Shivajinagar","DRDO Township 2nd Phase",15.4,5,28,27,55,,,
1101,,"314-AA","Halasoor","Kadugodi",22,2,20,"GS",20,,,
1102,,"314-B","Kempegowda Bus Stn","C.V.Raman Nagar ",16.6,4,24,24,48,,,
1103,,"314-C","K R Market","Nagawara Palya",16.6,1,10,"GS",10,,,
1104,,"314-D","K R Market","Vignana Nagar",18.5,3,18,20,38,,,
1105,,"314-E","Kempegowda Bus Stn","DRDO Township ",18.9,4,17,27,44,,,
1106,,"314-F","Kempegowda Bus Stn","Vibhuthipura Samudaya Bhavana",17.3,1,6,8,14,,,
1107,,"314-FA","K.R.Market ","Mallesh Palya New Bus Stand",16.7,1,7,8,15,,,
1108,,"314-G","Kempegowda Bus Stn","Byrasandra",15.6,1,7,6,13,,,
1109,,"314-H","Kempegowda Bus Stn","Mallesh Palya",16.2,3,19,22,41,,,
1110,,"314-K","C.V.Raman Nagar","Channammanakere Achukattu",23.5,2,7,7,14,,,
1111,,"314-L","D.R.D.O 2nd Stage","Jayanagara Bus Stn. ",20.4,1,10,"GS",10,,,
