"SL.","Num","Route ",,,"Route ","No.of ","No.of  Trips",,"No. of",,,
"No.","No.","No. ","FROM","TO","Length","Sch. ","Ist","IInd ","Total Trips ",,,
238,,"228-B","K R Market","Thittahalli",28.2,2,12,12,24,,,
239,,"228-C","K R Market","Dodda Kuntanahalli",28.2,1,6,6,12,,,
240,,"228-E","K R Market","Tippur",30.6,1,6,6,12,,,
241,,"228-F","K R Market","Chikka Kuntanahalli",30.6,1,6,6,12,,,
242,,"228-G","K R Market","Kenchanapalya",27,1,4,4,8,,,
243,,"228-H","Kempegowda Bus Stn","Thippur ",32,1,6,"GS",6,,,
244,20,229,"K R Market","Gaviyanapalya",24.2,1,7,7,14,,,
245,,"229-A","K.R.Market","Devagere Colony",27,1,3,4,7,,,
246,,"229-D","K.R.Market","Kagglipura",31.9,1,5,3,8,,,
247,21,230,"K R Market","Byrohalli",21.4,1,7,7,14,,,
248,,"230-A","K R Market","Bettana Palya",18.9,1,7,7,14,,,
249,,"230-B","Shivajinagar Bus Station","Bettanapalya ",18.9,1,4,"GS",4,,,
250,,"230-C","Shivajinagar Bus Station","Bettanapalya ",,1,,,,,,
251,22,231,"K R Market","Dodderi",29.2,1,6,6,12,,,
252,,"231-A","K R Market","Avaragere",32,1,5,5,10,,,
253,,"231-B","K R Market","Banni Kuppe",29.2,1,6,6,12,,,
254,,"231-C","K R Market","Mutturayana Gudi Palya",30.4,1,5,5,10,,,
255,,"231-D","K R Market","Bettanagere",29.8,1,6,6,12,,,
256,,"231-E","K R Market","Ganakal",32.4,1,5,5,10,,,
257,,"231-F","K R Market","Kaka Ramanahalli",35.4,1,5,5,10,,,
258,,"231-G","K R Market","Kempa Dyapanahalli",31,1,5,5,10,,,
259,,"231-H","K R Market","Dyavalingayanapalya",24.4,1,5,5,10,,,
260,,"231-J","K R Market","Guddadahalli ",37.3,1,6,6,12,,,
261,,"231-K","K R Market","Bidadi",35.5,1,6,"GS",6,,,
262,,"231-L","Kempegowda Bus Stn","Gankal",32.8,1,3,3,6,,,
263,,"231-N","Kempegowda Bus Stn","Manchana Bele",38.4,1,4,4,8,,,
264,,"231-P","K.R.Market","Bidadi",41,1,4,4,8,,,
265,23,233,"Kempegowda Bus Stn","Kempegowda Bus Stn (Ring )",31.5,1,5,5,10,,,
